model,scene,n_cams,MPJPE,MOTA,MOTP,Precision,Recall,t_detection,t_matching_old,t_matching_new,t_update,t_create_new,t_prediction
yolo26s-pose,161029_sports1,4,14.270312374593065,0.5013770655983976,5.098463234702052,0.7413876174415803,0.7705307961942914,0.11256685960026225,0.010811241106855838,6.480122504678244e-05,0.004667950989418508,4.287730516322578e-05,0.0005914256757396894
yolo26m-pose,171026_pose3,4,3.342268274103648,0.9939909864797196,3.3124778013871903,0.9961673054490918,0.9978300784510098,0.28434912016154984,0.011462525670976342,3.66306320244733e-05,0.004307950408694943,1.2434042340968378e-05,0.0007080055868763549
yolo26m-pose,160906_ian1,4,11.22836929247313,0.5449258505379471,6.103463186005509,0.7643078658020863,0.7883105553940098,0.28538936971363726,0.009667925541337658,4.628868348663673e-05,0.004664733882149449,2.598882508270132e-05,0.0005025882645374319
yolo26m-pose,170915_office1,4,4.381135891085444,0.9899777282850779,4.317555733188059,0.9959830395001116,0.9939866369710467,0.28797045652256603,0.011267121516245728,3.722259706895178e-05,0.00433726395933061,1.3772576827452414e-05,0.0007292442812144549
yolo26m-pose,161029_build1,4,5.25332658970143,0.9453762802434318,4.960277245069311,0.9772216394425296,0.9679382514472317,0.2891572259282247,0.016817677200776607,4.139531048104102e-05,0.00897246104271522,1.9260209059169473e-05,0.0007788584900185395
yolo26m-pose,160224_haggling1,4,6.62142257669922,0.8747580868122754,4.6315815923867465,0.9228137695103699,0.9546032623721316,0.28904649065513704,0.015597692529372095,8.471665936910238e-05,0.010467826775015177,4.494214669102803e-05,0.000742696859035641
yolo26m-pose,160906_pizza1,4,10.740741723133372,0.6991384261918437,6.8441146760440965,0.8469729791357884,0.8533946008041355,0.28950146496107726,0.02065286823400141,5.250907300505787e-05,0.021539787610903537,2.6807305794985345e-05,0.000886491771581738
yolo26m-pose,170221_haggling_m3,4,5.394688847571213,0.9236763236763237,4.726428536872237,0.9529688418577308,0.9716283716283717,0.28807555433788984,0.015072072851498468,4.426609509839461e-05,0.010422065480795797,2.3927390705256796e-05,0.0006985054273838893
yolo26m-pose,161029_sports1,4,12.764651817246486,0.4815973960941412,4.914047880511733,0.7234215413184772,0.7802954431647471,0.2789699681298419,0.010896008324669674,6.481280556957549e-05,0.00488258971205214,3.889796679141e-05,0.0006426743249641732
yolo26l-pose,171026_pose3,4,3.293337728631217,0.9929894842263395,3.248484477983519,0.9956673887685386,0.9973293273243198,0.3289769709209123,0.011643023749871645,3.7317013179955e-05,0.004383775743678248,1.2775818083005456e-05,0.0007253124649779728
yolo26l-pose,160906_ian1,4,10.931904446569485,0.5382378598429776,5.761977165275034,0.7623229461756373,0.7824949113114278,0.3439914244471389,0.009893849966407287,5.3809686127351596e-05,0.0047645902830408884,3.152391882031224e-05,0.000506481532890272
yolo26l-pose,170915_office1,4,4.742779704318766,0.9962138084632517,4.722941252336371,0.9991073421111359,0.9971046770601336,0.34657187072196716,0.011684075266627285,3.6913777927919806e-05,0.004491426580158683,1.360470487917256e-05,0.0007273052952756795
yolo26l-pose,161029_build1,4,5.089149209508121,0.9376577111473949,4.719760710952296,0.9734672462899115,0.9639305328781357,0.345948826087988,0.016960483360653176,4.440875373527592e-05,0.009134790896750082,2.0593239884853342e-05,0.0007714894163655117
yolo26l-pose,160224_haggling1,4,5.581029601157567,0.8897428808404755,4.4440338690694725,0.9290246893830321,0.9633397843516727,0.3459807506663958,0.015946678424056154,9.648130146088078e-05,0.01082968156504212,4.644056083634496e-05,0.0007631180720675426
yolo26l-pose,160906_pizza1,4,10.597007520429752,0.7108788052843193,6.328018287670737,0.8520237526448706,0.8604020677771396,0.34481361651347253,0.021067852331550483,5.017868848129486e-05,0.022471270257556655,2.494245572015643e-05,0.0008766091727884487
yolo26l-pose,170221_haggling_m3,4,4.848482604033603,0.9314685314685315,4.369714744576718,0.9556293979671618,0.9768231768231769,0.3354251136088502,0.015318675613415857,5.3540975065866054e-05,0.010761043862377006,2.8738487005914347e-05,0.0007197979932937485
yolo26l-pose,161029_sports1,4,16.310487874312727,0.47371056584877314,4.738252092653137,0.7182384136499884,0.7799198798197295,0.33483103178194334,0.010978684060341524,7.06705796183087e-05,0.004908755475763853,4.171878701308742e-05,0.0006403745407471433
